date,observed,upper_thresh,avg_expected,excess_lower,excess_upper
2020-01-04,632,725,659,0,0
2020-01-11,630,733,668,0,0
2020-01-18,639,734,673,0,0
2020-01-25,652,744,683,0,0
2020-02-01,681,744,682,0,0
2020-02-08,647,743,680,0,0
2020-02-15,634,725,665,0,0
2020-02-22,649,726,664,0,0
2020-02-29,632,711,653,0,0
2020-03-07,623,708,651,0,0
2020-03-14,626,704,645,0,0
2020-03-21,660,703,641,0,19
2020-03-28,739,704,645,35,94
2020-04-04,879,697,638,182,241
2020-04-11,1252,694,638,558,614
2020-04-18,1377,688,633,689,744
2020-04-25,1331,679,621,652,710
2020-05-02,1164,659,603,505,561
2020-05-09,1048,653,598,395,450
2020-05-16,947,634,582,313,365
2020-05-23,816,629,578,187,238
2020-05-30,753,629,575,124,178
2020-06-06,663,627,574,36,89
2020-06-13,633,630,576,3,57
2020-06-20,583,634,581,0,2
2020-06-27,612,628,577,0,35
2020-07-04,571,635,580,0,0
2020-07-11,663,634,581,29,82
2020-07-18,656,630,575,26,81
2020-07-25,690,625,571,65,119
2020-08-01,642,616,565,26,77
2020-08-08,683,616,563,67,120
2020-08-15,655,616,562,39,93
2020-08-22,634,613,561,21,73
2020-08-29,598,607,557,0,41
2020-09-05,633,615,565,18,68
2020-09-12,654,618,567,36,87
2020-09-19,628,617,568,11,60
2020-09-26,706,627,576,79,130
